date,tempC,tempF,humid,heatindex
20120915,20.8,69.5,58.8,20.84
20120916,20.2,68.3,56.7,20.17
20120917,17.2,63,86.7,17.22
20120918,20.7,69.2,72,20.66
20120919,20.7,69.3,63.7,20.72
20120920,20,68.1,68.9,20.05
20120921,20.1,68.2,69.1,20.11
20120922,20.5,68.9,60,20.49
20120923,21.4,70.5,57.6,21.37
20120924,21.5,70.6,49.3,21.45
20120925,21.8,71.3,51.9,21.83
20120926,21.2,70.1,59,21.18
20120927,20.4,68.7,62.6,20.39
20120928,18,64.4,73,17.98
20120929,16.3,61.4,58.9,16.31
20120930,16.1,60.9,64,16.05
20121001,17.9,64.3,63,17.92
20121002,19.1,66.3,64.8,19.07
20121003,19.9,67.9,60.5,19.93
20121004,19.2,66.5,61.2,19.17
20121005,18.8,65.9,63.9,18.83
20121006,19.6,67.3,52.2,19.63
20121007,19.1,66.4,55.3,19.13
20121008,18.5,65.3,52.5,18.51
20121009,17.7,63.8,58.6,17.65
20121010,15.8,60.4,69.9,15.8
20121011,13.9,57,48.4,13.89
20121012,14.8,58.7,50.9,14.82
20121013,16.2,61.2,54.2,16.22
20121014,16.5,61.7,43.4,16.5
20121015,14.7,58.5,32.6,14.71
20121016,16.6,61.8,46.2,16.58
20121017,13.5,56.3,56.8,13.48
20121018,11.3,52.3,45.9,11.28
20121019,14.8,58.6,52.2,14.76
20121020,15.5,59.8,63.9,15.47
20121021,18.4,65.2,70.2,18.45
20121022,14,57.2,79,13.98
20121023,9.6,49.3,49.6,9.59
20121024,13.1,55.6,63.2,13.13
20121025,15.2,59.4,66.1,15.2
20121026,15.8,60.4,64.2,15.76
20121027,14.3,57.8,82.4,14.33
20121028,14.8,58.7,64.7,14.83
20121029,11.7,53,62.6,11.66
20121030,9,48.3,54.5,9.04
20121031,6.7,44.1,52.5,6.72
20121101,5.8,42.4,38.3,5.76
20121102,6.9,44.4,37.5,6.89
20121103,9,48.2,42.8,8.98
20121104,11.6,52.8,53.3,11.58
20121105,9,48.2,86,9
20121106,7.2,44.9,81.8,7.18
20121107,8.2,46.8,68.3,8.2
20121108,8.9,48,74,8.86
20121109,9.2,48.6,65.5,9.23
20121110,11.9,53.3,50,11.86
20121111,8.9,48,73.2,8.89
